step,wall_s,eval/episode_reward,eval/success_rate,eval/collision_rate,eval/avg_episode_length,eval/episode_collision,eval/episode_collision_std,eval/episode_reward_collision,eval/episode_reward_collision_std,eval/episode_reward_progress,eval/episode_reward_progress_std,eval/episode_reward_std,eval/episode_reward_success,eval/episode_reward_success_std,eval/episode_reward_time,eval/episode_reward_time_std,eval/episode_success,eval/episode_success_std,eval/epoch_eval_time,eval/sps,eval/std_episode_length,eval/walltime
0,53.17,-2.9445602893829346,0.0,0.96875,246.2734375,0.96875,0.17399263381958008,-0.96875,0.17399263381958008,-0.7444372177124023,0.6308647394180298,1.319832444190979,0.0,0.0,-1.2313719987869263,1.1801468133926392,0.0,0.0,23.15635871887207,5527.639364805746,236.02662658691406,23.15635871887207
819200,101.55,7.147965431213379,0.53125,0.4765625,104.2734375,0.4765625,0.4994503855705261,-0.4765625,0.4994503855705261,2.8333961963653564,1.2199759483337402,6.3004150390625,5.3125,4.990224838256836,-0.5213668346405029,0.25890201330184937,0.53125,0.4990224838256836,22.18613886833191,5769.368016654077,51.78043746948242,45.34249758720398
1638400,124.59,8.136404991149902,0.5859375,0.4140625,68.0625,0.4140625,0.49255937337875366,-0.4140625,0.49255937337875366,3.0314061641693115,1.2566176652908325,6.277226448059082,5.859375,4.925593852996826,-0.34031233191490173,0.13380354642868042,0.5859375,0.49255937337875366,0.7097127437591553,180354.65915691303,26.760730743408203,46.052210330963135
2457600,128.29,8.408191680908203,0.6015625,0.3984375,65.4296875,0.3984375,0.48957639932632446,-0.3984375,0.48957639932632446,3.1181540489196777,1.399206280708313,6.383272171020508,6.015625,4.895763874053955,-0.3271482586860657,0.14560836553573608,0.6015625,0.48957639932632446,0.7123942375183105,179675.7936250292,29.121694564819336,46.764604568481445
3276800,130.95,7.973723888397217,0.5625,0.4375,66.7890625,0.4375,0.49607837200164795,-0.4375,0.49607837200164795,3.120170831680298,1.2911248207092285,6.395275592803955,5.625,4.9607834815979,-0.3339451551437378,0.14015278220176697,0.5625,0.49607837200164795,0.7426252365112305,172361.50040002618,28.03057861328125,47.507229804992676
4096000,133.5,8.978628158569336,0.65625,0.34375,69.734375,0.34375,0.4749588668346405,-0.34375,0.4749588668346405,3.1085524559020996,1.331101655960083,6.197503566741943,6.5625,4.749588966369629,-0.34867170453071594,0.15728455781936646,0.65625,0.4749588668346405,0.8839800357818604,144799.6502395972,31.456933975219727,48.391209840774536
4915200,136.26,7.675085544586182,0.546875,0.4609375,69.6796875,0.4609375,0.49847179651260376,-0.4609375,0.49847179651260376,3.0156729221343994,1.322350263595581,6.338467597961426,5.46875,4.977978706359863,-0.34839826822280884,0.16895915567874908,0.546875,0.4977978765964508,0.9606659412384033,133240.90561074126,33.7918586730957,49.35187578201294
5734400,138.96,8.081116676330566,0.5859375,0.4140625,74.9140625,0.4140625,0.49255937337875366,-0.4140625,0.49255937337875366,3.0103759765625,1.1387807130813599,6.154329299926758,5.859375,4.925593852996826,-0.3745701014995575,0.15924249589443207,0.5859375,0.49255937337875366,0.7178959846496582,178298.81032482098,31.848527908325195,50.0697717666626
6553600,141.51,7.6265764236450195,0.5390625,0.4609375,68.4453125,0.4609375,0.49847179651260376,-0.4609375,0.49847179651260376,3.0391173362731934,1.4066282510757446,6.44264030456543,5.390625,4.984717845916748,-0.34222638607025146,0.1727304756641388,0.5390625,0.49847179651260376,0.7190043926239014,178023.94715960318,34.54612350463867,50.7887761592865
7372800,143.79,7.475070476531982,0.53125,0.46875,64.328125,0.46875,0.4990224838256836,-0.46875,0.4990224838256836,2.9529623985290527,1.3022149801254272,6.431884765625,5.3125,4.990224838256836,-0.3216404914855957,0.155816912651062,0.53125,0.4990224838256836,0.7072343826293945,180986.67590808385,31.16340446472168,51.496010541915894
8192000,146.5,7.806072235107422,0.5625,0.4453125,58.2578125,0.4453125,0.4970002770423889,-0.4453125,0.4970002770423889,2.917675495147705,1.4539148807525635,6.54384183883667,5.625,4.9607834815979,-0.29128891229629517,0.1471887081861496,0.5625,0.49607837200164795,0.7029931545257568,182078.58664904002,29.437763214111328,52.19900369644165
9011200,148.91,9.708208084106445,0.6953125,0.3046875,62.9296875,0.3046875,0.46027493476867676,-0.3046875,0.46027493476867676,3.374420642852783,1.2595298290252686,5.951015949249268,6.953125,4.602749347686768,-0.314648300409317,0.12655457854270935,0.6953125,0.46027493476867676,0.7220649719238281,177269.36629949548,25.310935974121094,52.92106866836548
9830400,151.17,7.7232770919799805,0.546875,0.4453125,64.7578125,0.4453125,0.4970002770423889,-0.4453125,0.4970002770423889,3.023630380630493,1.4231250286102295,6.518618106842041,5.46875,4.977978706359863,-0.32378944754600525,0.43720895051956177,0.546875,0.4977978765964508,0.714257001876831,179207.20365870878,87.440673828125,53.63532567024231
10649600,153.5,9.641838073730469,0.6953125,0.3046875,63.96875,0.3046875,0.46027493476867676,-0.3046875,0.46027493476867676,3.313246726989746,1.1622065305709839,5.857512474060059,6.953125,4.602749347686768,-0.319843590259552,0.11583913117647171,0.6953125,0.46027493476867676,0.7157981395721436,178821.3644652805,23.167844772338867,54.35112380981445
11468800,155.86,8.175052642822266,0.5859375,0.4140625,63.34375,0.4140625,0.49255937337875366,-0.4140625,0.49255937337875366,3.0464606285095215,1.277146577835083,6.306633472442627,5.859375,4.925593852996826,-0.3167191743850708,0.4324670135974884,0.5859375,0.49255937337875366,0.7282109260559082,175773.2484093116,86.49227142333984,55.07933473587036
12288000,158.18,7.352278709411621,0.5234375,0.4765625,53.3203125,0.4765625,0.4994503855705261,-0.4765625,0.4994503855705261,2.8610687255859375,1.3578349351882935,6.462496757507324,5.234375,4.994503974914551,-0.26660144329071045,0.13135987520217896,0.5234375,0.4994503855705261,0.7071640491485596,181004.676572734,26.27199363708496,55.78649878501892
13107200,160.58,8.036052703857422,0.5703125,0.4296875,56.6875,0.4296875,0.495031476020813,-0.4296875,0.495031476020813,3.0460543632507324,1.214990258216858,6.319379806518555,5.703125,4.950314521789551,-0.2834373712539673,0.12169648706912994,0.5703125,0.495031476020813,0.7381622791290283,173403.60462611233,24.339317321777344,56.52466106414795
13926400,162.9,7.744881629943848,0.546875,0.453125,57.3828125,0.453125,0.4977978765964508,-0.453125,0.4977978765964508,3.01617169380188,1.4078389406204224,6.479039192199707,5.46875,4.977978706359863,-0.2869139313697815,0.13605353236198425,0.546875,0.4977978765964508,0.7141106128692627,179243.9402149508,27.21072769165039,57.23877167701721
14745600,165.26,8.654840469360352,0.6171875,0.3828125,55.859375,0.3828125,0.4860731363296509,-0.3828125,0.4860731363296509,3.145076036453247,1.4161962270736694,6.397247791290283,6.171875,4.86073112487793,-0.27929675579071045,0.12263652682304382,0.6171875,0.4860731363296509,0.7321462631225586,174828.45497850102,24.527320861816406,57.97091794013977
15564800,167.53,8.209637641906738,0.5859375,0.4140625,51.46875,0.4140625,0.49255937337875366,-0.4140625,0.49255937337875366,3.021669864654541,1.345599889755249,6.437700271606445,5.859375,4.925593852996826,-0.2573436498641968,0.11217643320560455,0.5859375,0.49255937337875366,0.7181110382080078,178245.414970106,22.435302734375,58.68902897834778
